epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.7501,0.0151,0.0190,0.3134,0.0528,True
2,0.6608,0.1922,0.2646,0.2911,0.0834,True
3,0.6073,0.1848,0.2610,0.2456,0.0914,False
4,0.6087,0.1809,0.2468,0.2223,0.0981,False
5,0.6220,0.1943,0.2780,0.2301,0.0922,True
6,0.6228,0.2060,0.2913,0.2607,0.0875,True
7,0.5672,0.1935,0.2659,0.2120,0.0949,False
8,0.5064,0.1701,0.2375,0.1596,0.0907,False
9,0.5404,0.2034,0.2854,0.2147,0.1040,False
10,0.5101,0.1662,0.2250,0.1840,0.1059,False
11,0.4960,0.2359,0.3294,0.1858,0.1031,True
12,0.4931,0.1961,0.2734,0.1531,0.1034,False
13,0.4942,0.2251,0.3200,0.1826,0.1060,False
14,0.4875,0.2623,0.3588,0.2230,0.1180,True
15,0.4340,0.1792,0.2505,0.2217,0.1211,False
16,0.4555,0.2164,0.2940,0.2240,0.1174,False
17,0.4312,0.2579,0.3524,0.2104,0.1149,False
18,0.4063,0.2194,0.2852,0.2311,0.1230,False
19,0.4514,0.2056,0.2779,0.2320,0.1253,False
