epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.6753,0.1753,0.2394,0.2017,0.0758,True
2,0.6188,0.2519,0.3394,0.2264,0.0977,True
3,0.6568,0.2376,0.3453,0.1371,0.1032,False
4,0.5887,0.2310,0.3185,0.1835,0.1071,False
5,0.5902,0.2611,0.3751,0.1548,0.0885,True
6,0.5640,0.2702,0.3670,0.1718,0.1036,True
7,0.5074,0.2079,0.2743,0.1244,0.1002,False
8,0.5290,0.1949,0.2692,0.1393,0.1164,False
9,0.5710,0.2707,0.3660,0.1591,0.1171,True
10,0.4887,0.2480,0.3396,0.1693,0.1203,False
11,0.5135,0.2406,0.3302,0.1352,0.1166,False
12,0.5306,0.2750,0.3792,0.1574,0.1209,True
13,0.4519,0.2959,0.4087,0.1627,0.1196,True
14,0.4688,0.2698,0.3792,0.1678,0.1210,False
15,0.4656,0.2702,0.3845,0.1714,0.1118,False
16,0.4717,0.2367,0.3385,0.1658,0.1202,False
17,0.4263,0.2767,0.3813,0.1721,0.1207,False
18,0.4614,0.3068,0.4224,0.1708,0.1215,True
19,0.4366,0.2933,0.4087,0.1605,0.1191,False
20,0.4523,0.2432,0.3400,0.1710,0.1246,False
