epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.7258,0.0033,0.0006,0.3047,0.0969,True
2,0.7526,0.0795,0.1129,0.2177,0.1141,True
3,0.6290,0.0978,0.1404,0.2033,0.1085,True
4,0.6447,0.0891,0.1280,0.2006,0.1164,False
5,0.6084,0.0285,0.0386,0.1471,0.1011,False
6,0.5887,0.0873,0.1213,0.1814,0.1064,False
7,0.6025,0.0812,0.1056,0.1275,0.1120,False
8,0.6166,0.1365,0.1941,0.1319,0.1133,True
9,0.5274,0.0812,0.1237,0.1471,0.1061,False
10,0.5463,0.1161,0.1564,0.1381,0.1119,False
11,0.5286,0.1095,0.1561,0.1509,0.1068,False
12,0.5241,0.0908,0.1302,0.1496,0.1085,False
13,0.4686,0.0625,0.0962,0.1418,0.1163,False
