epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.7138,0.0823,0.1165,0.1825,0.0230,True
2,0.7155,0.0729,0.0924,0.1397,0.0721,False
3,0.6222,0.0956,0.1321,0.1579,0.0800,True
4,0.5752,0.1330,0.1832,0.1304,0.1314,True
5,0.5522,0.0943,0.1386,0.1388,0.1720,False
6,0.5902,0.0965,0.1429,0.1971,0.1790,False
7,0.4937,0.1095,0.1496,0.1248,0.1443,False
8,0.5279,0.1483,0.1961,0.1767,0.1609,True
9,0.4406,0.1452,0.2036,0.1066,0.1153,False
10,0.4098,0.1261,0.1749,0.1822,0.1464,False
11,0.3646,0.1666,0.2267,0.1589,0.1289,True
12,0.3577,0.1178,0.1644,0.1690,0.1409,False
13,0.3758,0.1522,0.2078,0.2167,0.1348,False
14,0.3099,0.1600,0.2121,0.2154,0.1340,False
15,0.3297,0.1487,0.2004,0.1606,0.1243,False
16,0.3053,0.1574,0.2102,0.1919,0.1334,False
