epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,1.7202,0.0052,0.0055,0.2746,True
2,1.5000,0.0926,0.1181,0.5679,True
3,1.6168,0.0238,0.0425,0.7984,False
4,1.7697,0.0805,0.1130,0.1993,False
5,1.7897,0.1053,0.1321,0.1914,True
6,1.6689,0.0458,0.0597,0.1959,False
7,1.5416,0.1266,0.1661,0.2082,True
8,1.4332,0.1398,0.1986,0.1955,True
9,1.4748,0.1264,0.1854,0.1629,False
10,1.3388,0.1424,0.2102,0.1770,True
11,1.2542,0.1160,0.1824,0.2249,False
12,1.2352,0.1900,0.2814,0.2072,True
13,1.1922,0.1744,0.2526,0.1656,False
14,1.1742,0.1593,0.2253,0.1877,False
15,1.0833,0.1844,0.2605,0.1942,False
16,1.0777,0.1736,0.2471,0.2220,False
17,0.9891,0.1588,0.2205,0.1776,False
18,1.0118,0.1818,0.2517,0.1618,False
19,1.0578,0.1800,0.2497,0.1897,False
