epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,1.6583,0.0853,0.1208,0.2694,True
2,1.5571,0.1523,0.2095,0.3226,True
3,1.4330,0.1021,0.1343,0.2661,False
4,1.3344,0.0840,0.1117,0.3519,False
5,1.3822,0.1355,0.1926,0.2713,False
6,1.4711,0.0939,0.1374,0.2457,False
7,1.4271,0.1026,0.1413,0.2454,False
8,1.3732,0.2138,0.2778,0.2707,True
9,1.3692,0.1935,0.2685,0.2515,False
10,1.3402,0.1277,0.1720,0.2445,False
11,1.2478,0.1718,0.2328,0.2360,False
12,1.2434,0.1601,0.2156,0.2582,False
13,1.2983,0.1826,0.2503,0.2703,False
14,1.2599,0.1558,0.2219,0.2455,False
15,1.2193,0.1169,0.1644,0.2498,False
