epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,1.7548,0.0861,0.1224,0.2955,True
2,1.6111,0.1727,0.2276,0.2766,True
3,1.4488,0.1467,0.1874,0.2753,False
4,1.4487,0.1411,0.1861,0.2602,False
5,1.4156,0.1844,0.2504,0.1787,True
6,1.4559,0.1584,0.2159,0.1439,False
7,1.4642,0.1753,0.2368,0.1321,False
8,1.3934,0.2463,0.3370,0.1402,True
9,1.3399,0.1467,0.2047,0.2007,False
10,1.3523,0.1597,0.2219,0.1312,False
11,1.3237,0.2043,0.2879,0.1389,False
12,1.4198,0.2112,0.2889,0.1597,False
13,1.2196,0.1995,0.2734,0.1423,False
14,1.3844,0.1779,0.2431,0.1410,False
15,1.2846,0.2216,0.3003,0.1219,False
