epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.7099,0.2445,0.3407,0.2102,True
2,0.6796,0.2654,0.3691,0.1595,True
3,0.5568,0.2315,0.3265,0.1105,False
4,0.5734,0.2802,0.3872,0.1535,True
5,0.5909,0.2767,0.3711,0.1111,False
6,0.5638,0.2963,0.3962,0.1321,True
7,0.5471,0.2332,0.3192,0.1073,False
8,0.4663,0.2227,0.3022,0.1292,False
9,0.5090,0.2241,0.3052,0.1235,False
10,0.4594,0.2302,0.3190,0.1225,False
11,0.4723,0.2302,0.3172,0.1105,False
12,0.4724,0.2267,0.3134,0.1398,False
13,0.4609,0.2563,0.3529,0.1352,False
