epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.7685,0.1883,0.2600,0.1474,True
2,0.7554,0.2419,0.3288,0.1436,True
3,0.6309,0.2114,0.2922,0.1214,False
4,0.7269,0.2271,0.3214,0.1045,False
5,0.6489,0.2371,0.3304,0.1304,False
6,0.5880,0.2384,0.3403,0.1214,False
7,0.5701,0.2214,0.2988,0.1099,False
8,0.5791,0.2476,0.3472,0.1113,True
9,0.5612,0.2136,0.2916,0.1180,False
10,0.5324,0.1600,0.2201,0.1269,False
11,0.5373,0.2241,0.3078,0.1168,False
12,0.5174,0.2711,0.3659,0.1037,True
13,0.4852,0.2145,0.2910,0.1282,False
14,0.5133,0.2123,0.2910,0.1302,False
15,0.4290,0.2127,0.2929,0.1200,False
16,0.4884,0.1640,0.2288,0.1102,False
17,0.4960,0.2859,0.3840,0.1215,True
18,0.4634,0.1470,0.2149,0.1260,False
19,0.4095,0.1679,0.2320,0.1248,False
20,0.4718,0.1683,0.2340,0.1516,False
21,0.4795,0.2354,0.3190,0.1166,False
22,0.4267,0.2336,0.3179,0.1202,False
23,0.4943,0.1831,0.2544,0.1316,False
24,0.3891,0.1539,0.2146,0.1428,False
