epoch,train_mse,val_mse
1,0.009585,0.008237
2,0.008155,0.007577
3,0.007340,0.007095
4,0.006734,0.006967
5,0.006136,0.006797
6,0.005613,0.006684
7,0.005107,0.006783
8,0.004720,0.006577
9,0.004347,0.006564
10,0.004005,0.006485
11,0.003703,0.006464
12,0.003450,0.006526
13,0.003237,0.006416
14,0.003058,0.006438
15,0.002872,0.006513
16,0.002732,0.006521
17,0.002581,0.006416
18,0.002481,0.006449
19,0.002379,0.006409
20,0.002292,0.006364
21,0.002223,0.006414
22,0.002159,0.006391
23,0.002083,0.006410
24,0.002061,0.006451
25,0.002014,0.006393
26,0.002004,0.006402
27,0.001972,0.006477
28,0.001966,0.006403
29,0.001926,0.006379
30,0.001948,0.006409
