epoch,train_mse,val_mse
1,0.022545,0.009282
2,0.008309,0.006301
3,0.005893,0.004165
4,0.004592,0.003391
5,0.003816,0.003154
6,0.003310,0.002697
7,0.002868,0.002367
8,0.002550,0.002207
9,0.002321,0.002032
10,0.002063,0.002061
11,0.001878,0.001898
12,0.001727,0.001787
13,0.001620,0.001738
14,0.001524,0.001675
15,0.001435,0.001601
16,0.001339,0.001568
17,0.001281,0.001555
18,0.001209,0.001507
19,0.001194,0.001488
20,0.001129,0.001590
21,0.001095,0.001478
22,0.001051,0.001455
23,0.001058,0.001390
24,0.001006,0.001376
25,0.000990,0.001450
26,0.000971,0.001428
27,0.000984,0.001416
28,0.000960,0.001408
29,0.000945,0.001382
30,0.000951,0.001354
